t A E T
4370.0 -7.587659724105132e-06 0.00011919150129089724 1.747667646326105e-07
4380.0 -1.8515402102676657e-07 0.00011947984753547848 1.6037303976739609e-07
4390.0 7.218081943982176e-06 0.00011929661732519166 1.4534629838967595e-07
4400.0 1.4592828299915227e-05 0.00011864253382993636 1.2974585378242043e-07
4410.0 2.190997762556447e-05 0.00011752017863766385 1.136332823167271e-07
4420.0 2.914064982986293e-05 0.00011593398156082791 9.707218384684055e-08
4430.0 3.625630614050753e-05 0.00011389020315792074 8.012792654018273e-08
4440.0 4.3228861746446174e-05 0.00011139691001842242 6.286739239025449e-08
4450.0 5.003079664092858e-05 0.00010846394292828533 4.5358711653321025e-08
4460.0 5.66352642451289e-05 0.00010510287803006422 2.767099331710699e-08
4470.0 6.301619736518338e-05 0.00010132698112998091 9.874053694093003e-09
4480.0 6.914841107936e-05 9.715115534087977e-05 -7.961859741379557e-09
4490.0 7.500770213951958e-05 9.259188225952959e-05 -2.5766346793275503e-08
4500.0 8.057094449844893e-05 8.766715691870442e-05 -4.346912847676045e-08
4510.0 8.581618058653927e-05 8.239641675675355e-05 -6.100033166480182e-08
4520.0 9.072270797754237e-05 7.680046490635806e-05 -7.829075637441618e-08
4530.0 9.527116109748525e-05 7.090138808091178e-05 -9.527215547635573e-08
4540.0 9.944358765879777e-05 6.472246940318925e-05 -1.1187750078932952e-07
4550.0 0.00010322351951568405 5.828809651066111e-05 -1.280412467669572e-07
4560.0 0.00010659603766308247 5.162366529272853e-05 -1.436995958171906e-07
4570.0 0.00010954783112106082 4.475547966454211e-05 -1.587907388741805e-07
4580.0 0.00011206724946983999 3.771064774081712e-05 -1.7325511149705842e-07
4590.0 0.00011414434883536772 3.0516974846029086e-05 -1.8703561890780364e-07
4600.0 0.00011577093113507574 2.3202853768045355e-05 -2.00077867821679e-07
4610.0 0.00011694057643513677 1.5797152694267344e-05 -2.1233037922712664e-07
4620.0 0.0001176486682879117 8.3291012730022e-06 -2.2374478887839892e-07
4630.0 0.00011789241195422776 8.281752438080983e-07 -2.342760443775128e-07
4640.0 0.00011767084543500754 -6.676019898179081e-06 -2.4388257592546005e-07
4650.0 0.00011698484326459107 -1.4153865754021572e-05 -2.5252646590522357e-07
4660.0 0.00011583711306188194 -2.1575847921234442e-05 -2.601735952472003e-07
4670.0 0.00011423218484116985 -2.8912672484413936e-05 -2.667937790331318e-07
4680.0 0.00011217639313429255 -3.61353816374215e-05 -2.723608869626207e-07
4690.0 0.00010967785198927283 -4.321546797528503e-05 -2.768529453493415e-07
4700.0 0.00010674642294098693 -5.012498701117193e-05 -2.8025222223470626e-07
4710.0 0.00010339367609375543 -5.6836667471588304e-05 -2.8254530153666753e-07
4720.0 9.963284445022296e-05 -6.332401893316755e-05 -2.8372313067752744e-07
4730.0 9.547877168483883e-05 -6.956143637727925e-05 -2.837810613781286e-07
4740.0 9.09478535571094e-05 -7.552430125342346e-05 -2.8271886514568204e-07
4750.0 8.60579731987532e-05 -8.118907864283591e-05 -2.8054073472594775e-07
4760.0 8.082843052862926e-05 -8.653341015178674e-05 -2.772552666085483e-07
4770.0 7.527986607902787e-05 -9.15362021558613e-05 -2.728754299381221e-07
4780.0 6.943417953066242e-05 -9.617770905721564e-05 -2.6741851254729297e-07
4790.0 6.331444327432314e-05 -0.0001004396112184268 -2.60906053239896e-07
4800.0 5.69448113499555e-05 -0.00010430508726558426 -2.533637589735441e-07
4810.0 5.035042410568666e-05 -0.00010775888048454086 -2.4482139832516375e-07
4820.0 4.35573089808066e-05 -0.00011078735903588327 -2.3531269146095414e-07
4830.0 3.659227776909202e-05 -0.00011337856975886403 -2.24875168654509e-07
4840.0 2.948282080027459e-05 -0.00011552228535082886 -2.1355003050735257e-07
4850.0 2.225699843804254e-05 -0.0001172100447318026 -2.0138197700115667e-07
4860.0 1.494333032401457e-05 -0.00011843518643990856 -1.8841903942488263e-07
4870.0 7.570682822014897e-06 -0.00011919287492653883 -1.7471238234571525e-07
4880.0 1.6815507327758573e-07 -0.00011948011963664991 -1.6031610929257605e-07
4890.0 -7.235035842471265e-06 -0.00011929578681755057 -1.4528704559436516e-07
4900.0 -1.4609670234218177e-05 -0.00011864060399224819 -1.2968451084833794e-07
4910.0 -2.1926641121306197e-05 -0.000117517157083784 -1.1357009277923515e-07
4920.0 -2.915706911724805e-05 -0.00011592988021679661 -9.700739546534626e-08
4930.0 -3.627241641664084e-05 -0.00011388503820947538 -8.006179598320608e-08
4940.0 -4.324459942353458e-05 -0.00011139070185085039 -6.280018056400776e-08
4950.0 -5.0046099605488505e-05 -0.00010845671604502573 -4.529068412521169e-08
4960.0 -5.665007209659231e-05 -0.00010509466095383628 -2.7602418347673612e-08
4970.0 -6.303045165892526e-05 -0.0001013178062927154 -9.805202669601904e-09
4980.0 -6.916205555597182e-05 -9.714105895495384e-05 8.030716140911345e-09
4990.0 -7.502068294559913e-05 -9.258090417565659e-05 2.5834935608892197e-08
5000.0 -8.058321040050297e-05 -8.765534046487825e-05 4.353718073037138e-08
5010.0 -8.582768317317874e-05 -8.238380857224117e-05 6.106757775625532e-08
5020.0 -9.073340184975656e-05 -7.678711475377032e-05 7.835693069450879e-08
5030.0 -9.5281004047508e-05 -7.088734865363499e-05 9.533699723700577e-08
5040.0 -9.945254083899052e-05 -6.47077961146856e-05 1.1194075220374378e-07
